i,v1,v2lin,v3
1469,14,2,2
1470,9,28,0
1471,15,19,1
1472,3,19,2
1473,5,33,0
1474,4,24,1
1475,13,22,1
1476,2,21,2
1477,2,28,1
1478,17,20,0
1479,0,36,0
1480,6,13,2
1481,0,16,3
1482,24,0,1
1483,0,31,1
1484,10,19,1
1485,21,17,0
1486,15,1,2
1487,14,8,2
1488,6,23,1
1489,25,9,0
1490,22,11,0
1491,3,29,1
1492,19,14,1
1493,1,23,2
1494,13,4,2
1495,1,2,4
1496,7,3,3
1497,8,29,0
1498,28,9,0
1499,10,13,2
1500,8,0,3
1501,11,12,2
1502,24,13,0
1503,9,10,2
1504,1,30,1
1505,7,12,2
1506,0,5,4
1507,4,23,1
1508,2,22,2
1509,5,16,2
1510,5,26,1
1511,3,9,3
1512,0,25,2
1513,8,23,1
1514,13,26,0
1515,1,14,3
1516,25,16,0
1517,4,34,0
1518,22,16,0
1519,9,23,1
1520,19,10,1
1521,25,12,0
1522,6,4,3
1523,2,0,4
1524,2,29,1
1525,22,3,1
1526,23,22,0
1527,12,18,1
1528,26,11,0
1529,14,3,2
1530,11,19,1
1531,20,13,1
1532,23,16,0
1533,29,9,0
1534,6,14,2
1535,6,25,1
1536,18,16,1
1537,24,15,0
1538,16,14,1
1539,14,6,2
1540,3,10,3
1541,1,3,4
1542,8,1,3
1543,2,12,3
1544,17,22,1
1545,13,17,1
1546,17,12,1
1547,23,2,1
1548,12,27,0
1549,12,9,2
1550,10,10,2
1551,30,3,0
1552,4,7,3
1553,4,8,3
1554,17,23,0
1555,7,30,0
1556,8,11,2
1557,4,29,1
1558,25,15,0
1559,14,16,1
1560,3,20,2
1561,0,17,3
1562,22,5,1
1563,17,13,1
1564,9,20,1
1565,3,35,0
1566,16,24,0
1567,24,1,1
1568,16,0,2
1569,22,6,1
1570,13,8,2
1571,22,4,1
1572,18,11,1
1573,11,13,2
1574,10,25,1
1575,23,14,0
1576,8,2,3
1577,24,3,1
1578,15,15,1
1579,19,24,0
1580,23,3,1
1581,2,13,3
1582,14,9,2
1583,10,28,0
1584,6,5,3
1585,1,33,0
1586,0,26,2
1587,13,10,2
1588,28,10,0
1589,2,1,4
1590,4,19,2
